"","xmin","xmax","ymin","ymax","Name"
"xmin",-76.7111512005872,-76.6917824926686,39.2693874362255,39.2814190250428,"Beechfield"
"xmin1",-76.5720656996146,-76.5645008307523,39.3277246234287,39.3333031853922,"Belair-Parkside"
"xmin2",-76.5885228768889,-76.5762375278853,39.214217559421,39.2324952275553,"Curtis Bay Industrial Area"
"xmin3",-76.5316287063183,-76.5297617716265,39.2879512054167,39.2927726304641,"Eastwood"
"xmin4",-76.6999109937329,-76.6895784428017,39.3203114744143,39.326553864214,"Forest Park Golf Course"
"xmin5",-76.6132039978625,-76.6094320804081,39.3179897606946,39.3234570776219,"Harwood"
"xmin6",-76.5886095855291,-76.5322484415523,39.197234526005,39.2185416344415,"Hawkins Point"
"xmin7",-76.573173874915,-76.5624097994839,39.2863893154522,39.2904352624988,"Highlandtown"
"xmin8",-76.6402130783723,-76.6340531844139,39.3373858386902,39.3435176821006,"Hoes Heights"
"xmin9",-76.5466831273102,-76.5370953796429,39.2873331387563,39.2906290635534,"Bayview"
"xmin10",-76.635428884955,-76.625669341697,39.3413464464964,39.3450326934209,"Keswick"
"xmin11",-76.6829910292228,-76.6694123728253,39.3366119809807,39.3422371831581,"Lucille Park"
"xmin12",-76.6620494851102,-76.6523536710143,39.2745004729974,39.2848254158162,"Millhill"
"xmin13",-76.5691242586999,-76.560353549822,39.3356996584942,39.344506720606,"Moravia-Walther"
"xmin14",-76.5819340928759,-76.5762842844871,39.3451479749485,39.3504282665182,"Morgan Park"
"xmin15",-76.6855102762078,-76.6740963228779,39.3087871481163,39.3141492042876,"Mount Holly"
"xmin16",-76.580234040299,-76.5701120729679,39.3577604535071,39.3719969101338,"Mt Pleasant Park"
"xmin17",-76.5432606958886,-76.5334790966787,39.2748054820623,39.2816657656153,"O'Donnell Heights"
"xmin18",-76.6887969231329,-76.6809813885876,39.2663257510338,39.2707475495744,"Oaklee"
"xmin19",-76.5731254360711,-76.5613620164005,39.2992155010976,39.3145662987735,"Orangeville Industrial Area"
"xmin20",-76.6192340151995,-76.6127174722707,39.2788823166414,39.2843854131937,"Otterbein"
"xmin21",-76.5622018387967,-76.552037542693,39.3186431103228,39.3258201141255,"Parkside"
"xmin22",-76.652486789289,-76.6434939369348,39.3131401009963,39.3202148457126,"Auchentoroly-Parkwood"
"xmin23",-76.6112885389359,-76.6055253346793,39.2925465165673,39.3013801076605,"Penn-Fallsway"
"xmin24",-76.6845359022294,-76.6674543493662,39.3489965898318,39.3570479637211,"Pimlico Good Neighbors"
"xmin25",-76.60551321312,-76.5996823481764,39.2916055028334,39.2949266010326,"Pleasant View Gardens"
"xmin26",-76.7109629748177,-76.7022701160804,39.3187223332239,39.3217381523108,"Purnell"
"xmin27",-76.6741332109828,-76.6659739405663,39.299587657523,39.3089293296269,"Rosemont"
"xmin28",-76.5448557781943,-76.5297753092894,39.3511681595553,39.3601582157886,"Rosemont East"
"xmin29",-76.6633161996096,-76.6531701415938,39.293199651044,39.2956012067436,"Rosemont Homeowners/Tenants"
"xmin30",-76.6528298592157,-76.6462240515982,39.3606094995977,39.3719945791247,"Sabina-Mattfeldt"
"xmin31",-76.6791871176383,-76.6715017965178,39.2713543900492,39.2804995065894,"Saint Agnes"
"xmin32",-76.5332094709405,-76.5297868178037,39.2574494201399,39.2639732095339,"Saint Helena"
"xmin33",-76.6808073413595,-76.6721172685845,39.2810896657089,39.2897678630693,"Saint Josephs"
"xmin34",-76.5920012113079,-76.5845420979176,39.3457705552631,39.3513641222713,"Stonewood-Pentwood-Winston"
"xmin35",-76.5403551342327,-76.5296719914184,39.3637487533145,39.3719801853709,"Taylor Heights"
"xmin36",-76.6280673116476,-76.622166382057,39.286030663439,39.2948228069103,"University Of Maryland"
"xmin37",-76.6387960287271,-76.6233515338712,39.2953595720988,39.3074692575938,"Upton"
"xmin38",-76.7075496458301,-76.6899962184689,39.3095794901034,39.3174740540526,"Wakefield"
"xmin39",-76.711194103226,-76.6947360585488,39.2915498212788,39.3033076318302,"West Hills"
"xmin40",-76.6095955578975,-76.5996934442474,39.3410249494643,39.3461512268993,"Wilson Park"
"xmin41",-76.5962612172058,-76.5884716638104,39.3540002317636,39.3608025385249,"Woodbourne Heights"
"xmin42",-76.6352669618525,-76.6236479666846,39.3530276988385,39.3622172331035,"Wyndhurst"
"xmin43",-76.6800866273287,-76.6727501020113,39.2937827661064,39.2996621905592,"Edgewood"
"xmin44",-76.6099156330356,-76.5993786546509,39.3645964014973,39.3671269160869,"Evesham Park"
"xmin45",-76.6099558202851,-76.6013301684534,39.3585746753837,39.3641984665609,"Belvedere"
